,mean_freq,stdev,num_rxns,median_freq,core_rxns
4G03,0.9986873920552677,0.02761581175866319,1930,1.0,1926
I3M17,0.9990272938443671,0.023291744871231514,2296,1.0,2292
D2R19,0.9298540737738142,0.24701139914124304,2467,1.0,2299
C2M01,0.8458252217174995,0.28974947928195255,3082,1.0,2306
C1R06_2_rep,0.9991283438533213,0.02902104199053159,2218,1.0,2216
C3R14,0.9048897620606854,0.28347236628993366,3054,1.0,2770
D2M02,0.9999185800358249,0.0026041660448743445,2047,1.0,2047
I1M13,0.9986349986349987,0.03262880333949128,2442,1.0,2438
F2R10,0.9186649181965781,0.2664310618932586,2669,1.0,2455
C2M04,0.9999244142101286,0.002748767233021554,2646,1.0,2646
C1M14,0.8754564139765445,0.27088783502162705,2757,1.0,2212
G1M14,0.8259970289109816,0.3169545431649001,2917,1.0,2194
4A10,0.9998435054773083,0.005355222870909442,2343,1.0,2343
D2M19_2,0.9216660174003377,0.26105774533853815,2567,1.0,2370
B3R15,0.9998857958601001,0.003901370857341842,2335,1.0,2335
A1R06,0.9335645544306962,0.2430934133867663,2667,1.0,2492
A2R16,0.822338157747111,0.3655877616413599,2971,1.0,2453
G1M15,0.797022370012092,0.34985002297383555,3308,1.0,2447
I2M19,0.8859771668919934,0.30515027772262326,2219,1.0,1973
B1M15,0.9990763247447739,0.02215088614676353,2057,1.0,2055
C3R06,0.792432573972244,0.3552237678854855,2546,1.0,1841
G2R05,0.9992207792207791,0.02093881756387062,2695,1.0,2693
4G09,0.8700927263969173,0.2899479164155309,2768,1.0,2227
B2M13,0.5627997522343156,0.4027450524290647,3767,0.5333333333333333,1630
D2R18,0.9254921521681299,0.25454143314835526,2506,1.0,2322
D3R05,0.7027449485322149,0.4120621311210508,2623,0.9833333333333333,1771
4C08,0.823051948051948,0.3612751008159413,2310,1.0,1916
A1M10,0.6485695631528964,0.39582269292171784,2808,0.9,1488
B2M14,0.9998056743101438,0.0054363969901148924,2573,1.0,2573
G1M02,0.801181312807355,0.33379036892988406,3118,1.0,2267
C1R02,0.934639303482587,0.23982239273349384,2680,1.0,2509
5D01,0.9994475882511452,0.015428762005299667,2474,1.0,2472
I2M14,0.9411282051282052,0.22730427106412215,2600,1.0,2452
B2R03,0.9247764080251389,0.25745230118259865,2758,1.0,2553
B2R22,0.7981044845122516,0.379234509228101,2884,1.0,2320
C3R15,0.8250406143848767,0.3645976840467184,2257,1.0,1870
3D04,0.9343881856540084,0.24103888453167585,2607,1.0,2437
E3M17,0.9998067201903063,0.004693206701061241,2242,1.0,2242
F3M04,0.8561962470680219,0.3336847063031259,2558,1.0,2202
C3M11,0.7513906271728549,0.3986338943078024,2397,1.0,1827
B3R10,0.9991145387032276,0.0279078986705374,2334,1.0,2332
6E02,0.8353945450759942,0.33301726992170744,3202,1.0,2574
D3M06,0.9995379807039,0.012385578178591703,2453,1.0,2451
E3R09,0.7900668576886342,0.3794414597194735,2443,1.0,1951
5C01,0.9997683397683398,0.008334940065908115,2590,1.0,2588
A3R04,0.9998894874982733,0.0038378237572869738,2413,1.0,2413
D3R11,0.7113955823293173,0.40872344987747455,2656,0.9666666666666667,1932
B2R04,0.9992764661081492,0.026212503636572508,2626,1.0,2624
C2M04_2,0.9291504654176976,0.18712691674521725,2829,1.0,2437
4A09,0.7571836241905391,0.3925248960319727,3037,1.0,2332
I2R04,0.9239591465001301,0.2583946801503663,2562,1.0,2369
C3R12,0.8664037494284408,0.32809393953087856,2916,1.0,2531
1A06,0.834157328059767,0.31520645745667303,3034,1.0,2338
I3R17,0.9119889937106919,0.27301934313774245,1696,1.0,1545
F2R13,0.8108257294130901,0.36615326311277135,2959,1.0,2417
1A01,0.8855845690952073,0.28890349015440475,3102,1.0,2759
4D01,0.8346655132641292,0.3416346240868487,2890,1.0,2424
I1R14,0.9017976278724981,0.2879530991904577,2698,1.0,2438
C2M11,0.8071531471631205,0.3305896557533904,3008,1.0,2182
D2R05,0.999773514521716,0.005670804379000321,2502,1.0,2502
A2M07,0.876620965438446,0.3173581951644616,2334,1.0,2052
D3M08,0.9998650472334683,0.004741626086323662,2470,1.0,2470
D3M17_2,0.7479632137215076,0.401290727477757,2954,1.0,2235
I3M07,0.8874576844955993,0.24492172740035406,2954,1.0,2391
F2R14,0.9998058790904049,0.004946585228502308,2404,1.0,2404
6D02,0.9311535337124289,0.17232370336688774,2462,1.0,2123
