,mean_freq,stdev,num_rxns,median_freq,core_rxns
GORG_SAMEA6079554_SAGS_AG426C22,0.4751716247139588,0.3971727651358323,3059,0.35,1008
TARA_SAMEA2621232_METAG_BMGMOOFP,0.798950551405194,0.3770821796782681,2811,1.0,2268
GORG_SAMEA6076038_SAGS_AG414O15,0.7771718691237307,0.3996062873066953,2659,1.0,2075
TARA_SAMEA2623673_METAG_OHJFNMIE,0.32478898844305937,0.3699724819615545,2567,0.13333333333333333,522
GORG_SAMEA6079543_SAGS_AG426C04,0.4492110780094891,0.3903692794079641,3021,0.35,913
MARD_SAMN09684733_REFG_MMP09684733,0.4702395964691046,0.4067855186097537,3172,0.3333333333333333,1095
TARA_SAMEA4396496_METAG_FNFDMJKC,0.9991532323725776,0.022481531738443136,2047,1.0,2045
TARA_SAMEA2622766_METAG_CBIMLOEF,0.4461538461538461,0.3980699953231369,2964,0.3,920
TARA_SAMEA4397842_METAG_JJGLIADL,0.6065371024734982,0.4117680260621888,2830,0.7833333333333333,1403
TARA_SAMEA2621812_METAG_GLEIOLJH,0.5781958514230583,0.392656272474059,3455,0.5833333333333334,1502
TARA_SAMEA4396538_METAG_OLMODPLD,0.3593954802259886,0.3753204073062418,2950,0.16666666666666666,665
TARA_SAMEA2623295_METAG_JCIEMCBA,0.5337971457696229,0.40610803204599255,3270,0.48333333333333334,1340
MARD_SAMN09711903_REFG_MMP09711903,0.7738228252194732,0.3946948028583561,2506,1.0,1958
BGEO_SAMN07136678_METAG_MDEJHEOL,0.4870676894092316,0.41002496601340477,2477,0.5166666666666667,848
TARA_SAMEA2620651_METAG_HAKCGCNF,0.7174211435324063,0.39166144183373164,3667,1.0,2372
TARA_SAMEA2619907_METAG_AHLHGLPC,0.6510222709017891,0.454839548931687,1826,0.9666666666666667,1194
TARA_SAMEA4397051_METAG_ANCHFCML,0.9989383474034281,0.028809139365796446,2606,1.0,2602
TARA_SAMEA2619974_METAG_NBDDEECB,0.9994883370955606,0.01339413462810301,2215,1.0,2213
MALA_SAMN05422149_METAG_IOGIMBKE,0.9146474358974358,0.2724720844069649,2600,1.0,2381
TARA_SAMEA4397174_METAG_KMIHOAAC,0.6351440958939046,0.41431639027072875,2614,0.85,1370
MARD_SAMN08886310_SAGS_MMP08886310,0.39059220389805094,0.3895747934875818,2668,0.2,709
TARA_SAMEA4398111_METAG_PFEAKHKP,0.7720561237870442,0.39468131267879786,2542,1.0,1983
TARA_SAMN05326645_METAG_PSE00027,0.41882338400692126,0.4014929788849799,2697,0.23333333333333334,798
MARD_SAMN09932619_REFG_MMP09932619,0.8560539752005836,0.33021130277984684,2742,1.0,2354
MARD_SAMN09074957_REFG_MMP09074957,0.8613037083727283,0.31658928961828725,3173,1.0,2733
MARD_SAMN09236930_REFG_MMP09236930,0.9999043715846994,0.0033394721409412144,2440,1.0,2440
TARA_SAMEA2622219_METAG_MIBOIKLJ,0.4796464294021865,0.40445283676396726,2866,0.35,983
TARA_SAMEA2623059_METAG_NOCDOODJ,0.4223474341192788,0.3868310951493886,2884,0.2833333333333333,810
TARA_SAMEA4396941_METAG_CLEKMJLB,0.918491105051292,0.2658364740093948,2567,1.0,2362
TARA_SAMEA2591122_METAG_BAJAKJIO,0.8458259847148736,0.3523537364399886,1701,1.0,1440
GORG_SAMEA6075640_SAGS_AG390D05,0.4404899625723035,0.3925515401498811,2939,0.2833333333333333,888
TARA_SAMEA2591122_METAG_ICOIILAN,0.5710489897592028,0.40139895940850134,3613,0.5833333333333334,1574
GORG_SAMEA6075216_SAGS_AG349G23,0.5177944862155388,0.429856520421108,2261,0.7,919
TARA_SAMEA4397730_METAG_DNEDKOCP,0.5220787768327259,0.4018213147120437,3292,0.43333333333333335,1292
MARD_SAMN08886496_SAGS_MMP08886496,0.41082157784743983,0.398020812219191,2552,0.21666666666666667,746
TARA_SAMEA4397196_METAG_GHDIDCLF,0.6897946166602883,0.42177374005482227,2613,0.95,1833
GORG_SAMEA6074323_SAGS_AG917B09,0.37939741561181434,0.38101404551355017,2528,0.21666666666666667,617
TARA_SAMEA4397516_METAG_NBMHCLPA,0.474294532627866,0.4049377508874865,3024,0.35,1060
